Link|Title|File Size
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terms%20of%20Surveying%20and%20Mapping.7z|Chinese-English Terms of Surveying and Mapping|148 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Terms%20of%20Water%20Conservancy%20Science%20and%20Technology.7z|Chinese-English Terms of Water Conservancy Science and Technology|81 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Textile%20Dictionary.7z|Chinese-English Textile Dictionary|1.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Trade%20Dictionary.7z|Chinese-English Trade Dictionary|2.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Vocabulary%20for%20Import%20and%20Export%20Commodities.7z|Chinese-English Vocabulary for Import and Export Commodities|3.2 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Water%20Conservancy%20Dictionary.7z|Chinese-English Water Conservancy Dictionary|2.5 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Water%20Conservancy%20Science%20and%20Technology%20Terms.7z|Chinese-English Water Conservancy Science and Technology Terms|237 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Wiktionary.7z|Chinese-English Wiktionary|4.2 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Chinese-English%20Zoological%20Terms.7z|Chinese-English Zoological Terms|160 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Concise%20Chinese-English%20Dictionary.7z|Concise Chinese-English Dictionary|3 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Concise%20Chinese-English%20Dictionary%20of%20Traditional%20Chinese%20Medicine%20(MDX).7z|Concise Chinese-English Dictionary of Traditional Chinese Medicine (MDX)|2.1 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dictionary%20of%20Astronomical%20Terms%20(En-Ch%20-%20Ch-En)%20(MDX).7z|Dictionary of Astronomical Terms (En-Ch - Ch-En) (MDX)|947 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dictionary%20of%20Buddhist%20Terms%20(En-Ch-En).7z|Dictionary of Buddhist Terms (En-Ch-En)|301 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dictionary%20of%20Chinese%20Characters%20with%20English%20Interpretations%20(MDX).7z|Dictionary of Chinese Characters with English Interpretations (MDX)|7.1 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dictionary%20of%20New%20Chinese%20Words%20for%20Foreigners%20(Ch-En-Ch)%20(MDX).7z|Dictionary of New Chinese Words for Foreigners (Ch-En-Ch) (MDX)|61.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dong%20Chinese%20Lexicon%20%5BZH-EN%5D%20(MDX).zip|Dong Chinese Lexicon [ZH-EN] (MDX)|935 KB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dr.%20Eye%204%20in%201%20English-Chinese%20-%20Chinese-English%20Dictionary.7z|Dr. Eye 4 in 1 English-Chinese - Chinese-English Dictionary|12.7 MB
https://cloud.freemdict.com/index.php/s/pgKcDcbSDTCzXCs/download?path=%2FCHINESE%2FChi-Eng&files=Dr.%20Eye%204-in-1%20English-Chinese-Chinese-English%20Dictionary%20(MDX).7z|Dr. Eye 4-in-1 English-Chinese-Chinese-English Dictionary (MDX)|14.9 MB
